DISTRICT,POPULATION
Adilabad,149383
Bhadradri Kothagudem ,22149
Hyderabad,11052545
Jagtial ,113930
Jangaon ,52394
Jayashankar Bhoopalpally,42387
Jogulamba Gadwal ,63177
Kamareddy ,80315
Karimnagar ,297447
Khammam,305000
Komaram Bheem Asifabad,57583
Mahabubabad ,42851
Mahbubnagar,222573
Mancherial,110000
Medak ,72344
Medchal ,51689
Nagarkurnool ,28060
Nalgonda,29731
Nirmal,49764
Nizamabad,311152
Peddapalli,252308
Rajanna Sircilla ,83186
Ranga Reddy,66982
Sangareddy ,72344
Siddipet,29600
Suryapet,149000
Vikarabad,65115
Wanaparthy ,60949
Warangal (Rural),30963
Warangal (Urban),704570
Yadadri Bhongir,53339
Mulugu,257744
Narayanapet,41752
